"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1533","Registration with correct email, username and password","LMS system","Tue Aug 12 16:38:58 GMT 2025","passed","Tue Aug 12 16:38:59 GMT 2025","Registration","Authentication","",""
"","2181","Create course","LMS system","Tue Aug 12 16:39:00 GMT 2025","passed","Tue Aug 12 16:39:02 GMT 2025","Courses","Courses","",""
"","1459","User login with wrong email or password","LMS system","Tue Aug 12 16:38:55 GMT 2025","passed","Tue Aug 12 16:38:56 GMT 2025","Authorization","Authentication","",""
"","1492","Navigation from login page to registration page","LMS system","Tue Aug 12 16:38:57 GMT 2025","passed","Tue Aug 12 16:38:58 GMT 2025","Authorization","Authentication","",""
"","1657","User login with wrong email or password","LMS system","Tue Aug 12 16:38:53 GMT 2025","passed","Tue Aug 12 16:38:54 GMT 2025","Authorization","Authentication","",""
"","1685","Check displaying of dashboard page","LMS system","Tue Aug 12 16:39:03 GMT 2025","passed","Tue Aug 12 16:39:05 GMT 2025","Dashboard","Dashboard","",""
"","1717","User login with wrong email or password","LMS system","Tue Aug 12 16:38:53 GMT 2025","passed","Tue Aug 12 16:38:55 GMT 2025","Authorization","Authentication","",""
"","2639","Edit course","LMS system","Tue Aug 12 16:39:02 GMT 2025","passed","Tue Aug 12 16:39:05 GMT 2025","Courses","Courses","",""
"","2794","User login with correct email and password","LMS system","Tue Aug 12 16:38:55 GMT 2025","passed","Tue Aug 12 16:38:58 GMT 2025","Authorization","Authentication","",""
"","1500","Check displaying of empty courses list","LMS system","Tue Aug 12 16:39:01 GMT 2025","passed","Tue Aug 12 16:39:03 GMT 2025","Courses","Courses","",""
