"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1627","Check displaying of dashboard page","LMS system","Sun Aug 17 14:17:05 GMT 2025","passed","Sun Aug 17 14:17:06 GMT 2025","Dashboard","Dashboard","",""
"","1826","Registration with correct email, username and password","LMS system","Sun Aug 17 14:16:59 GMT 2025","passed","Sun Aug 17 14:17:01 GMT 2025","Registration","Authentication","",""
"","2770","Edit course","LMS system","Sun Aug 17 14:17:04 GMT 2025","passed","Sun Aug 17 14:17:07 GMT 2025","Courses","Courses","",""
"","3243","User login with correct email and password","LMS system","Sun Aug 17 14:16:56 GMT 2025","passed","Sun Aug 17 14:16:59 GMT 2025","Authorization","Authentication","",""
"","2066","User login with wrong email or password","LMS system","Sun Aug 17 14:16:54 GMT 2025","passed","Sun Aug 17 14:16:56 GMT 2025","Authorization","Authentication","",""
"","1923","User login with wrong email or password","LMS system","Sun Aug 17 14:16:56 GMT 2025","passed","Sun Aug 17 14:16:58 GMT 2025","Authorization","Authentication","",""
"","2399","Create course","LMS system","Sun Aug 17 14:17:02 GMT 2025","passed","Sun Aug 17 14:17:04 GMT 2025","Courses","Courses","",""
"","1486","Check displaying of empty courses list","LMS system","Sun Aug 17 14:17:03 GMT 2025","passed","Sun Aug 17 14:17:05 GMT 2025","Courses","Courses","",""
"","1537","Navigation from login page to registration page","LMS system","Sun Aug 17 14:16:58 GMT 2025","passed","Sun Aug 17 14:17:00 GMT 2025","Authorization","Authentication","",""
"","1978","User login with wrong email or password","LMS system","Sun Aug 17 14:16:54 GMT 2025","passed","Sun Aug 17 14:16:56 GMT 2025","Authorization","Authentication","",""
