"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1481","User login with wrong email or password","LMS system","Mon Aug 11 19:31:09 GMT 2025","passed","Mon Aug 11 19:31:11 GMT 2025","Authorization","Authentication","",""
"","1577","Navigation from login page to registration page","LMS system","Mon Aug 11 19:31:11 GMT 2025","passed","Mon Aug 11 19:31:12 GMT 2025","Authorization","Authentication","",""
"","1606","Registration with correct email, username and password","LMS system","Mon Aug 11 19:31:12 GMT 2025","passed","Mon Aug 11 19:31:14 GMT 2025","Registration","Authentication","",""
"","1693","Check displaying of dashboard page","LMS system","Mon Aug 11 19:31:17 GMT 2025","passed","Mon Aug 11 19:31:19 GMT 2025","Dashboard","Dashboard","",""
"","1993","User login with wrong email or password","LMS system","Mon Aug 11 19:31:07 GMT 2025","passed","Mon Aug 11 19:31:09 GMT 2025","Authorization","Authentication","",""
"","1977","User login with wrong email or password","LMS system","Mon Aug 11 19:31:07 GMT 2025","passed","Mon Aug 11 19:31:09 GMT 2025","Authorization","Authentication","",""
"","2767","Edit course","LMS system","Mon Aug 11 19:31:17 GMT 2025","passed","Mon Aug 11 19:31:20 GMT 2025","Courses","Courses","",""
"","2210","Create course","LMS system","Mon Aug 11 19:31:14 GMT 2025","passed","Mon Aug 11 19:31:17 GMT 2025","Courses","Courses","",""
"","1552","Check displaying of empty courses list","LMS system","Mon Aug 11 19:31:16 GMT 2025","passed","Mon Aug 11 19:31:17 GMT 2025","Courses","Courses","",""
"","2960","User login with correct email and password","LMS system","Mon Aug 11 19:31:09 GMT 2025","passed","Mon Aug 11 19:31:12 GMT 2025","Authorization","Authentication","",""
